model_name,url,url.1,model_description,params,model_size,updated_url
huggingface-universal-sentence-encoder_4,https://huggingface.co/vprelovac/universal-sentence-encoder-4,https://huggingface.co/vprelovac/universal-sentence-encoder-4,,,,https://huggingface.co/vprelovac/universal-sentence-encoder-4
huggingface-voyageai-voyage-lite-02-instruct,https://huggingface.co/voyageai/voyage-lite-02-instruct,https://huggingface.co/voyageai/voyage-lite-02-instruct,,,,https://huggingface.co/voyageai/voyage-lite-02-instruct
huggingface-xlnet-base-cased,https://huggingface.co/xlnet-base-cased,https://huggingface.co/xlnet-base-cased,text-generation,,,https://huggingface.co/xlnet-base-cased
huggingface-yiyanghkust-finbert-pretrain,https://huggingface.co/yiyanghkust/finbert-pretrain/tree/main,https://huggingface.co/yiyanghkust/finbert-pretrain/tree/main,fill-mask,,,https://huggingface.co/yiyanghkust/finbert-pretrain
huggingface-yiyanghkust-finbert-pretrain,https://huggingface.co/yiyanghkust/finbert-pretrain,https://huggingface.co/yiyanghkust/finbert-pretrain,fill-mask,,,https://huggingface.co/yiyanghkust/finbert-pretrain
huggingface-urchade-gliner_large-v2.1,https://huggingface.co/urchade/gliner_large-v2.1,https://huggingface.co/urchade/gliner_large-v2.1,token-classification,,,https://huggingface.co/urchade/gliner_large-v2.1
huggingface-urchade-gliner_multi_pii-v1,https://huggingface.co/urchade/gliner_multi_pii-v1,https://huggingface.co/urchade/gliner_multi_pii-v1,token-classification,,,https://huggingface.co/urchade/gliner_multi_pii-v1
huggingface-ahmet1338-finetuned_embedder,https://huggingface.co/ahmet1338/finetuned_embedder,https://huggingface.co/ahmet1338/finetuned_embedder,sentence-similarity,,,https://huggingface.co/ahmet1338/finetuned_embedder
huggingface-albert-large-v2,https://huggingface.co/albert-large-v2,https://huggingface.co/albert-large-v2,fill-mask,,,https://huggingface.co/albert-large-v2
huggingface-alibaba-nlp-gte-base-en-v1.5,https://huggingface.co/alibaba-nlp/gte-base-en-v1.5,https://huggingface.co/alibaba-nlp/gte-base-en-v1.5,sentence-similarity,,,https://huggingface.co/alibaba-nlp/gte-base-en-v1.5
huggingface-allenai-led-base-16384,https://huggingface.co/allenai/led-base-16384,https://huggingface.co/allenai/led-base-16384,,,,https://huggingface.co/allenai/led-base-16384
huggingface-allenai-specter,https://huggingface.co/allenai/specter,https://huggingface.co/allenai/specter,feature-extraction,,,https://huggingface.co/allenai/specter
huggingface-all-mpnet-base-v2 default,,,,,,
huggingface-andersonbcdefg-bge-small-4096,https://huggingface.co/andersonbcdefg/bge-small-4096,https://huggingface.co/andersonbcdefg/bge-small-4096,feature-extraction,,,https://huggingface.co/andersonbcdefg/bge-small-4096
